step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,customer_id,account_age_days,high_risk_country,billing_country,is_disposable_email,customer_name,billing_city,email,is_new_device,shipping_billing_mismatch,num_failed_payment_attempts,browser,device_os,device_id,ip_billing_distance_km,hour_of_day,day_index,is_night,account_txn_total,account_txn_index,time_since_last_hours,txn_count_last_24h
684,PAYMENT,15896.04,C929287113,129681.77,113785.73,M260117753,0.0,0.0,0,0,U183760,129,0,BR,0,Mr. Bruce Smith DVM,Wadefurt,gmyers@gmail.com,0,0,0,Safari,Linux,D46525030,224.4,12,28,0,1,0,-1,0
602,CASH_IN,28884.15,C491091581,12312.18,41196.33,C985677993,31525.51,60409.66,0,0,U175412,252,0,IN,0,Michael Nelson MD,North James,cnovak@icloud.com,0,0,0,Chrome,Windows,D17415882,252.0,2,25,1,2,1,472,0
182,TRANSFER,1197.73,C671357374,36225.07,35027.34,C669626564,17510.17,18707.9,0,0,U90303,117,0,BR,0,Christopher Henson,Lake Alexanderborough,mollywarren@gmail.com,0,0,0,Samsung Internet,iOS,D12997717,15.8,14,7,0,1,0,-1,0
129,CASH_IN,29911.19,C813952222,2388.52,32299.71,C466982213,3263.02,33174.21,0,0,U52015,233,0,GB,0,Deborah White,New Nina,natalie68@proton.me,0,0,0,Chrome,Android,D67720105,388.7,9,5,0,2,1,48,0
399,CASH_OUT,3396.4,C451798793,17213.91,13817.51,C786491881,11769.8,15166.2,0,0,U155921,2498,0,GB,0,Mark Gonzalez,Brianshire,ojoseph@yahoo.com,0,0,1,Firefox,macOS,D52426931,177.1,15,16,0,1,0,-1,0
667,PAYMENT,4126.6,C932311292,6975.21,2848.61,M459554586,0.0,0.0,0,0,U57415,848,0,DE,0,Susan Ball,Port Connor,chaynes@hotmail.com,0,0,0,Chrome,iOS,D98944106,16.9,19,27,0,1,0,-1,0
536,CASH_OUT,12407.81,C452659424,433.21,0.0,C196595549,2354.35,14762.16,0,0,U194027,286,0,IN,0,Marilyn Garcia,Mooreview,mary89@outlook.com,1,0,1,Edge,iOS,D97206580,49.9,8,22,0,2,1,33,0
493,CASH_OUT,40568.31,C696993554,3700.15,0.0,C318313004,13760.39,54328.7,0,0,U121348,374,0,DE,0,Michelle Mclaughlin,Rubioberg,johnsonrebecca@yahoo.com,0,0,0,Chrome,iOS,D32897291,238.5,13,20,0,1,0,-1,0
606,CASH_OUT,4210.28,C215446584,2555.84,0.0,C665879267,1940.6,6150.88,0,0,U169541,318,0,BR,1,Jenna Nunez,West Karenstad,robinreilly@guerrillamail.com,0,0,1,Firefox,Windows,D60359648,47.0,6,25,0,2,1,220,0
676,PAYMENT,1591.79,C913315487,5305.85,3714.06,M794200745,0.0,0.0,0,0,U41640,115,0,BR,0,Gail Cunningham,North Jonathan,wjames@icloud.com,1,0,0,Firefox,Linux,D90935624,1768.3,4,28,1,1,0,-1,0
499,CASH_OUT,3766.42,C990399604,11394.9,7628.48,C985697298,2827.8,6594.22,0,0,U167334,38,1,CN,1,Cynthia Stanley,West Anthonymouth,katherinehenry@trashmail.com,0,0,0,Firefox,macOS,D42252155,175.9,19,20,0,2,1,455,0
280,CASH_IN,604.71,C381590803,1920.94,2525.65,C539242823,40809.28,41413.99,0,0,U25716,67,0,GB,0,Denise Thomas,West Jeffreyton,lonnie62@icloud.com,0,0,1,Opera,Android,D16630066,168.4,16,11,0,1,0,-1,0
191,CASH_IN,1919.73,C589545323,2215.5,4135.23,C992569151,7702.38,9622.11,0,0,U39623,148,0,GB,0,Thomas Martinez,Myersborough,ashley12@outlook.com,1,0,0,Safari,macOS,D13805678,137.3,23,7,0,2,0,-1,0
45,PAYMENT,7370.68,C872852704,13929.0,6558.32,M257996399,0.0,0.0,0,0,U51280,516,0,FR,0,Megan Lucas,Port Josephstad,angela16@gmail.com,0,0,1,Samsung Internet,Windows,D28246332,130.6,21,1,0,3,0,-1,0
249,PAYMENT,1536.32,C803092633,7608.18,6071.86,M820265534,0.0,0.0,0,0,U58451,971,0,US,0,Craig Parker,Davidport,jane20@gmail.com,0,0,0,Firefox,macOS,D45670145,233.0,9,10,0,1,0,-1,0
133,PAYMENT,307.63,C255022871,7489.57,7181.94,M199804044,0.0,0.0,0,0,U168357,590,0,VN,0,Joseph Crawford,Petermouth,connor68@proton.me,0,0,0,Edge,Linux,D18984158,236.2,13,5,0,4,1,52,0
700,CASH_OUT,28106.02,C798129100,26614.55,0.0,C308900231,32673.35,60779.37,0,0,U69155,82,0,IN,0,Patrick Brown,Richardsonland,nielsenkristin@hotmail.com,0,0,0,Safari,iOS,D49627136,83.5,4,29,1,1,0,-1,0
405,CASH_IN,248.64,C844293683,7523.95,7772.59,C940001242,642.71,891.35,0,0,U180192,192,0,BR,1,Alison Johnson,Allenstad,jamesedwards@guerrillamail.com,0,0,0,Firefox,macOS,D85235856,95.1,21,16,0,1,0,-1,0
319,CASH_OUT,17467.79,C162333053,9052.54,0.0,C882521766,5121.63,22589.42,0,0,U71109,494,0,DE,0,David Mann,Michaelbury,sjackson@icloud.com,1,0,2,Safari,Linux,D24592750,320.8,7,13,0,1,0,-1,0
31,CASH_IN,163.42,C885653041,73515.42,73678.84,C579546724,3114.38,3277.8,0,0,U141552,162,1,RU,0,Leslie Crawford,Lake Jacobberg,buckcharles@icloud.com,1,0,1,Firefox,macOS,D97167947,106.4,7,1,0,1,0,-1,0
622,CASH_OUT,4882.88,C309341235,6969.6,2086.72,C781987004,102000.29,106883.17,0,0,U144782,189,1,NG,0,Alicia Oconnor,Port Meganborough,zsanchez@gmail.com,0,0,0,Chrome,macOS,D72677813,1027.8,22,25,0,1,0,-1,0
682,CASH_IN,2338.64,C140571338,78665.49,81004.13,C251864673,6706.17,9044.81,0,0,U70011,783,0,GB,0,Melissa Cannon,Lake Nancy,susan52@hotmail.com,0,0,1,Firefox,Android,D16421366,71.8,10,28,0,1,0,-1,0
632,PAYMENT,3309.27,C679606579,6632.47,3323.2,M250242020,0.0,0.0,0,0,U188738,624,0,IN,0,Jason Hill,South Maryton,andrewslevi@hotmail.com,0,0,1,Edge,iOS,D80798483,397.7,8,26,0,2,1,79,0
531,PAYMENT,3303.74,C944016946,11812.95,8509.21,M968955394,0.0,0.0,0,0,U174792,681,0,PH,0,Kevin Smith,Lamtown,judyriggs@outlook.com,0,1,0,Chrome,Android,D54905209,171.2,3,22,1,3,2,106,0
91,CASH_OUT,3377.94,C855216302,20916.72,17538.78,C468046230,3515.23,6893.17,0,0,U100218,582,0,BR,0,Susan Saunders,Port Davidmouth,amanda49@outlook.com,1,0,1,Opera,macOS,D10478967,289.3,19,3,0,1,0,-1,0
526,CASH_OUT,192.22,C177259011,8611.07,8418.85,C275023435,13813.64,14005.86,0,0,U66255,76,1,NG,0,Bradley Lucas,Johnberg,sporter@gmail.com,0,0,0,Safari,Windows,D44139229,186.3,22,21,0,1,0,-1,0
67,PAYMENT,3364.78,C147533636,35975.72,32610.94,M249342218,0.0,0.0,0,0,U124714,358,1,CN,0,Gina Hansen,Allisonmouth,benjaminmcgee@yahoo.com,0,0,0,Edge,iOS,D62165184,148.5,19,2,0,1,0,-1,0
696,CASH_IN,472.86,C121258961,15773.99,16246.85,C464414716,78330.88,78803.74,0,0,U182605,95,0,BR,0,Lance Rodriguez,New Arieltown,amy32@gmail.com,0,1,0,Opera,macOS,D77110661,77.8,0,29,1,1,0,-1,0
497,CASH_OUT,14268.93,C222278169,4325.61,0.0,C817179205,6393.61,20662.54,0,0,U16755,736,0,BR,0,Patrick Brown,Port Jackville,smithmiranda@icloud.com,0,0,2,Chrome,Linux,D40458600,262.1,17,20,0,1,0,-1,0
460,TRANSFER,39711.09,C397043413,7425.92,0.0,C449540246,4373.51,44084.6,0,0,U70124,288,0,BR,0,Matthew Payne,Cooperberg,joshuatorres@gmail.com,0,0,0,Safari,Android,D52877548,203.8,4,19,1,1,0,-1,0
420,CASH_IN,7310.51,C945273327,9055.33,16365.84,C772629193,7381.94,14692.45,0,0,U105297,1596,0,US,0,Charles White,Randallton,schaeferdavid@outlook.com,1,0,1,Samsung Internet,Android,D42170772,75.4,12,17,0,3,1,245,0
278,CASH_OUT,1817.93,C788951020,4872.06,3054.13,C317326329,8483.78,10301.71,0,0,U135521,344,0,US,0,Kyle Berry,North Hayleyfort,holmespatricia@proton.me,0,0,0,Safari,macOS,D95529177,8.3,14,11,0,1,0,-1,0
76,PAYMENT,148.55,C587585917,9075.79,8927.24,M424601626,0.0,0.0,0,0,U31370,686,0,US,0,Sarah Garcia,Port Sandraport,michael00@hotmail.com,1,0,0,Opera,iOS,D92858459,631.2,4,3,1,1,0,-1,0
289,CASH_OUT,6957.75,C899223364,3480.48,0.0,C823450211,4259.99,11217.74,0,0,U185129,291,0,VN,0,John Goodwin,Port Monica,scottjeffrey@icloud.com,0,0,0,Firefox,Android,D43065043,37.0,1,12,1,1,0,-1,0
572,PAYMENT,831.18,C774692205,9362.88,8531.7,M977431917,0.0,0.0,0,0,U137150,255,0,US,0,Toni Fernandez,Port Monica,rosejames@yahoo.com,0,0,2,Chrome,macOS,D33214817,108.0,20,23,0,3,2,521,0
498,PAYMENT,740.28,C383337156,17744.85,17004.57,M408800143,0.0,0.0,0,0,U105035,1222,0,DE,0,William Gomez,Samuelburgh,kristine70@proton.me,0,0,0,Firefox,Android,D36093361,132.6,18,20,0,3,1,359,0
158,PAYMENT,1221.82,C960892735,6747.11,5525.29,M875803208,0.0,0.0,0,0,U70910,597,0,BR,0,Michael Meyer,New Melanie,dawnfrazier@icloud.com,1,0,0,Edge,Windows,D25374820,17.1,14,6,0,1,0,-1,0
319,CASH_IN,600.36,C861956713,2428.16,3028.52,C851074577,4772.5,5372.86,0,0,U98639,232,0,IN,0,Chad Parker,Shafferview,kimberlyrose@gmail.com,1,0,0,Samsung Internet,Windows,D59440347,211.7,7,13,0,1,0,-1,0
486,CASH_OUT,11706.16,C503983544,2232.44,0.0,C821563541,21954.62,33660.78,0,0,U118276,822,0,VN,0,Christopher Rosales,Pughmouth,jrodriguez@gmail.com,0,0,0,Firefox,macOS,D82372751,326.1,6,20,0,1,0,-1,0
360,CASH_IN,15006.35,C189710985,13328.0,28334.35,C398928662,67329.27,82335.62,0,0,U52432,856,0,PH,0,Laura Simpson,Johnsonburgh,grace64@proton.me,0,0,0,Safari,macOS,D45200607,25.6,0,15,1,1,0,-1,0
621,CASH_IN,847.34,C733137542,8687.61,9534.95,C812650903,24860.28,25707.62,0,0,U177383,380,0,GB,0,Matthew Curry,Seanland,bakerbarbara@icloud.com,1,0,0,Edge,Windows,D41035396,39.6,21,25,0,1,0,-1,0
344,CASH_IN,1991.75,C455549175,3295.03,5286.78,C343416835,30713.53,32705.28,0,0,U187840,445,0,US,1,Christopher Dixon,Davisview,jacobgarcia@guerrillamail.com,0,0,1,Opera,Linux,D71169433,87.8,8,14,0,2,0,-1,0
439,PAYMENT,2131.3,C873468870,576.85,0.0,M338284968,0.0,0.0,0,0,U107759,511,0,VN,0,Richard Morse,Perezfurt,keychristina@gmail.com,1,0,0,Samsung Internet,Linux,D96934374,379.9,7,18,0,2,1,284,0
569,PAYMENT,4240.9,C948918085,4276.05,35.15,M498546841,0.0,0.0,0,0,U22678,218,0,PH,0,Rebekah Daugherty,North Joshuabury,ashleybrown@hotmail.com,0,0,0,Safari,Windows,D39360326,51.3,17,23,0,3,1,247,0
250,CASH_IN,556.13,C461189701,1769.13,2325.26,C908356365,1179.37,1735.5,0,0,U199968,289,0,US,0,Christine Clements,East Erik,aaron81@hotmail.com,0,0,0,Opera,Linux,D22247846,38.3,10,10,0,1,0,-1,0
283,CASH_OUT,2656.57,C662656000,2431.11,0.0,C646893733,1937.86,4594.43,0,0,U70166,526,0,US,0,Ashley Miller,Port Garyview,thompsondanielle@hotmail.com,1,0,0,Opera,Android,D83490782,509.9,19,11,0,1,0,-1,0
217,PAYMENT,5804.82,C813496238,30855.42,25050.6,M309651154,0.0,0.0,0,0,U72234,240,0,BR,0,Christopher Wilson,Camposport,fsanchez@icloud.com,0,0,0,Samsung Internet,Android,D99776827,51.7,1,9,1,1,0,-1,0
15,PAYMENT,3267.46,C941650531,7317.16,4049.7,M718893925,0.0,0.0,0,0,U60298,913,0,IN,0,Danielle Booker,Parkerbury,roythomas@yahoo.com,0,0,0,Edge,Android,D14277221,97.8,15,0,0,2,0,-1,0
397,CASH_OUT,8228.94,C954906807,28752.87,20523.93,C748481464,2574.68,10803.62,0,0,U162740,572,0,US,1,Amber Nguyen,Cookhaven,calebfrazier@trashmail.com,0,0,0,Samsung Internet,Linux,D81715949,183.5,13,16,0,1,0,-1,0
146,PAYMENT,1558.59,C260353674,272938.77,271380.18,M490761438,0.0,0.0,0,0,U159675,219,0,DE,0,Todd Park,West Alexis,diana55@proton.me,0,0,0,Edge,Linux,D35180581,142.9,2,6,1,2,0,-1,0
39,CASH_IN,1333.62,C604169733,1006.72,2340.34,C902404063,8751.53,10085.15,0,0,U197847,143,0,GB,0,Kevin Tate,North Brian,susanarroyo@hotmail.com,0,0,0,Safari,macOS,D17437356,325.5,15,1,0,2,0,-1,0
337,PAYMENT,1043.67,C197667018,47253.65,46209.98,M101179609,0.0,0.0,0,0,U36613,725,0,IN,0,Richard Barnes,North Joshua,erinroberts@yahoo.com,0,0,0,Safari,Android,D81641929,1352.1,1,14,1,1,0,-1,0
88,CASH_OUT,1522.38,C691378171,5411.36,3888.98,C134293904,4296.02,5818.4,0,0,U28176,234,0,PH,0,Anthony Barton,West Jessicaton,norma87@icloud.com,0,0,0,Samsung Internet,macOS,D68945509,149.0,16,3,0,1,0,-1,0
394,PAYMENT,5728.02,C728671275,119932.34,114204.32,M717453997,0.0,0.0,0,0,U27304,1177,0,PH,0,Brandon Mcdonald,South Justin,alexismarshall@icloud.com,0,0,0,Safari,macOS,D87316996,180.5,10,16,0,3,2,98,0
490,CASH_IN,8663.08,C674747888,9523.73,18186.81,C139817417,1105.82,9768.9,0,0,U102101,587,0,DE,0,Katherine Tucker,Ariasville,aalvarez@proton.me,0,0,0,Opera,Android,D36253027,60.0,10,20,0,2,1,55,0
551,PAYMENT,3178.41,C208813198,13094.05,9915.64,M307492685,0.0,0.0,0,0,U172192,542,0,IN,0,Eddie Dillon,North Eduardoton,bmorrow@outlook.com,0,0,0,Opera,Android,D87792051,77.2,23,22,0,1,0,-1,0
207,PAYMENT,3347.38,C642874221,1322.97,0.0,M842407962,0.0,0.0,0,0,U17059,406,0,IN,0,Joshua Lopez,Kevintown,andrew41@icloud.com,0,0,0,Chrome,iOS,D32241826,312.3,15,8,0,1,0,-1,0
18,CASH_IN,10524.14,C441382848,7297.4,17821.54,C388780055,34783.6,45307.74,0,0,U34638,129,0,BR,0,Brandi Gonzalez,Blevinsburgh,amy31@outlook.com,0,0,0,Edge,macOS,D64655651,189.1,18,0,0,2,0,-1,0
50,PAYMENT,4623.26,C484502985,24015.04,19391.78,M187312758,0.0,0.0,0,0,U17416,723,0,VN,0,Christine Carpenter,Petersburgh,greenrebecca@outlook.com,1,0,0,Samsung Internet,Windows,D86049698,432.7,2,2,1,1,0,-1,0
538,CASH_IN,4433.53,C694398942,6713.99,11147.52,C410409179,10135.41,14568.94,0,0,U30400,269,0,DE,0,Kimberly Wilson,New Timothy,brandongonzalez@icloud.com,0,0,0,Safari,macOS,D63378100,166.0,10,22,0,2,0,-1,0
229,PAYMENT,12461.03,C450705418,4966.38,0.0,M867232784,0.0,0.0,0,0,U148948,476,0,FR,0,Nancy Pacheco,Pearsonmouth,cheryl38@proton.me,0,0,0,Safari,Windows,D80565041,57.5,13,9,0,1,0,-1,0
516,CASH_IN,2004.7,C250410484,10876.23,12880.93,C524566241,6459.78,8464.48,0,0,U111683,593,0,PH,0,Zachary Friedman,Lake Lynnbury,emedina@outlook.com,0,0,1,Samsung Internet,macOS,D21485712,55.9,12,21,0,2,0,-1,0
47,CASH_IN,11301.18,C656820117,3375.08,14676.26,C791134029,1816.17,13117.35,0,0,U129570,792,0,US,0,Stephanie Meadows,Lake Travis,rrice@gmail.com,1,0,0,Samsung Internet,Windows,D98632496,508.7,23,1,0,2,0,-1,0
738,CASH_OUT,6714.62,C723121260,21668.23,14953.61,C188814658,723.47,7438.09,0,0,U100483,484,0,VN,0,Robert Lopez,West Christineberg,travis63@icloud.com,0,0,0,Safari,Android,D10364157,1191.2,18,30,0,1,0,-1,0
496,CASH_OUT,36.29,C201407645,9783.19,9746.9,C163783750,17232.08,17268.37,0,0,U146980,303,0,DE,0,Katherine Gentry,South Vincent,kjefferson@icloud.com,0,0,2,Chrome,iOS,D61272158,27.3,16,20,0,1,0,-1,0
567,TRANSFER,5331.85,C127319945,26908.88,21577.03,C110065012,10361.43,15693.28,0,0,U146928,966,0,GB,0,Mrs. Melissa Camacho,West Ralph,uhancock@icloud.com,0,1,0,Opera,macOS,D85573190,129.3,15,23,0,1,0,-1,0
253,CASH_OUT,1033.76,C261456482,5590.99,4557.23,C669421704,83074.27,84108.03,0,0,U47059,554,0,US,0,Teresa Hamilton,West Jamesfurt,maxwellmatthew@yahoo.com,0,0,0,Edge,Windows,D31886132,31.4,13,10,0,1,0,-1,0
138,PAYMENT,5063.94,C582496169,27177.66,22113.72,M968955394,0.0,0.0,0,0,U79157,2199,0,US,1,Robert Hill,Lindseymouth,aalexander@tempmail.com,0,0,0,Samsung Internet,macOS,D70850208,161.5,18,5,0,2,0,-1,0
176,DEBIT,1688.22,C457880747,12377.29,10689.07,C312524372,29411.22,31099.44,0,0,U30182,555,0,US,0,Manuel Douglas,Port Ryan,gpearson@hotmail.com,0,0,0,Edge,Android,D65014088,67.3,8,7,0,1,0,-1,0
363,CASH_IN,2880.78,C394032920,3533.65,6414.43,C846929711,4464.61,7345.39,0,0,U95456,142,0,BR,0,Natalie Oliver,Port Michael,carrbeth@outlook.com,0,1,0,Safari,macOS,D61857172,49.0,3,15,1,1,0,-1,0
258,CASH_OUT,1769.7,C824353020,14615.98,12846.28,C469646776,8229.33,9999.03,0,0,U44204,482,0,PH,0,Allison Daniel,Port Derekton,eric71@icloud.com,0,0,0,Firefox,Windows,D80658897,313.1,18,10,0,1,0,-1,0
162,PAYMENT,695.38,C377587371,74781.35,74085.97,M134659266,0.0,0.0,0,0,U112746,426,0,PH,0,Heather Fuller,Shaunbury,apowell@gmail.com,0,1,1,Samsung Internet,macOS,D99208519,47.7,18,6,0,2,0,-1,0
65,CASH_OUT,7305.75,C959058103,7390.98,85.23,C272618855,6889.86,14195.61,0,0,U143527,291,0,GB,0,Todd Berry,Alexburgh,gregoryacevedo@proton.me,0,0,1,Safari,Windows,D56192729,76.3,17,2,0,1,0,-1,0
315,PAYMENT,1399.37,C124737558,6296.92,4897.55,M187312758,0.0,0.0,0,0,U81051,105,1,CN,0,Jessica Kirby,East Alexanderland,tiffanyvilla@gmail.com,0,0,2,Chrome,iOS,D79693962,131.8,3,13,1,1,0,-1,0
468,TRANSFER,19922.36,C527506929,2711.67,0.0,C238273727,6441.98,26364.34,0,0,U795,276,0,PH,0,Joshua Green,Ericaberg,ricardomiller@gmail.com,0,0,0,Edge,macOS,D73601548,72.9,12,19,0,1,0,-1,0
613,PAYMENT,3304.28,C960491719,3240.76,0.0,M329275992,0.0,0.0,0,0,U64154,2082,0,VN,0,Timothy Coleman,Erikaland,brandon76@outlook.com,1,0,0,Chrome,Android,D38984391,239.7,13,25,0,3,2,273,0
567,PAYMENT,620.04,C844067239,4916.73,4296.69,M358874097,0.0,0.0,0,0,U197731,136,0,IN,0,Raymond Morgan,Allisonmouth,patricia90@icloud.com,0,0,0,Samsung Internet,Linux,D40345227,4.4,15,23,0,1,0,-1,0
184,CASH_OUT,5482.65,C664146461,44340.85,38858.2,C723769994,4724.34,10206.99,0,0,U118479,577,0,BR,0,Destiny Leonard,Smithtown,sabrinaacosta@gmail.com,0,0,0,Safari,Windows,D99203250,232.8,16,7,0,2,0,-1,0
564,PAYMENT,275.5,C874456588,3650.39,3374.89,M824117651,0.0,0.0,0,0,U64412,3171,0,BR,0,Melissa Hayden,Webbtown,rchase@outlook.com,0,0,0,Opera,Android,D84653723,394.9,12,23,0,1,0,-1,0
262,CASH_OUT,1471.57,C735595734,9068.29,7596.72,C130586783,23626.56,25098.13,0,0,U142264,64,0,DE,0,Joshua Wilson,Port Terriberg,williammolina@gmail.com,0,1,0,Chrome,Linux,D45240335,563.1,22,10,0,2,0,-1,0
322,CASH_IN,1664.22,C677305988,3027.47,4691.69,C413636332,999.74,2663.96,0,0,U10497,65,0,US,0,Leslie Atkins,West Sydneyfurt,andersontimothy@outlook.com,1,0,0,Safari,Windows,D54360319,360.4,10,13,0,2,1,84,0
78,CASH_IN,2423.3,C368007869,3304.96,5728.26,C365794853,11783.13,14206.43,0,0,U76248,743,0,PH,1,Vanessa Lawrence,Owensland,christophertaylor@guerrillamail.com,0,0,0,Safari,Windows,D59221537,412.8,6,3,0,1,0,-1,0
162,PAYMENT,21408.74,C951822348,10350.15,0.0,M459902495,0.0,0.0,0,0,U188579,526,0,IN,0,Vanessa Morales,Matthewport,schneideraaron@outlook.com,0,0,0,Samsung Internet,Android,D69685418,413.0,18,6,0,1,0,-1,0
326,CASH_IN,849.27,C809007662,3212.12,4061.39,C221924392,21588.55,22437.82,0,0,U51193,674,0,IN,0,Erik Bailey,Jessicachester,gilbertsherman@gmail.com,1,0,0,Edge,iOS,D47016203,27.2,14,13,0,3,0,-1,0
463,PAYMENT,9543.63,C713088478,2619.23,0.0,M930139760,0.0,0.0,0,0,U30791,240,0,DE,0,Howard Moore,New Sydneyburgh,sjones@yahoo.com,0,1,1,Samsung Internet,Android,D84564020,482.3,7,19,0,4,3,17,1
445,CASH_OUT,701.66,C834279722,26937.44,26235.78,C300475753,565.99,1267.65,0,0,U110569,102,1,RU,0,Sean Wagner,Robinsonmouth,turnerpamela@proton.me,0,0,0,Samsung Internet,Android,D79800856,100.0,13,18,0,1,0,-1,0
392,CASH_OUT,4709.54,C773231493,104401.59,99692.05,C243398752,3404.46,8114.0,0,0,U13961,111,0,US,0,Benjamin Smith,Taylorland,hawkinsdiamond@gmail.com,0,0,0,Samsung Internet,Windows,D52115697,73.3,8,16,0,1,0,-1,0
214,CASH_OUT,9870.37,C480096121,6854.93,0.0,C773189603,10953.15,20823.52,0,0,U106591,267,1,RU,0,Michael Andersen,Kimmouth,nicholas96@yahoo.com,0,0,0,Edge,Android,D39997051,0.2,22,8,0,1,0,-1,0
